city,lat,lon,temp_max,temp,humidity,cloudiness,wind_speed,country,date
okhotsk,59.3833,143.3,268.14,268.14,75,46,4.13,RU,1635205992
toamasina,-18.1667,49.3833,296.65,296.65,82,96,3.32,MG,1635206000
saint-georges,12.0564,-61.7485,300.97,300.97,83,40,6.17,GD,1635205934
almansa,38.8692,-1.0971,285.71,284.5,94,91,1.89,ES,1635206125
xiuyan,40.2928,123.2744,284.75,284.75,86,98,0.8,CN,1635206126
toppenish,46.3774,-120.3087,287.49,285.94,66,84,5.79,US,1635206126
mangrul pir,20.3167,77.35,292.47,292.47,60,0,1.22,IN,1635206126
saint-paul,-21.0096,55.2707,295.2,294.14,87,15,0.89,RE,1635206127
emmaus,40.5395,-75.4968,293.54,291.31,85,1,0.0,US,1635206127
uirauna,-6.5183,-38.4122,301.59,301.59,42,7,4.06,BR,1635206128
zhezkazgan,47.8043,67.7144,280.59,280.59,43,94,2.4,KZ,1635206128
calvinia,-31.4707,19.776,289.91,289.91,29,55,3.45,ZA,1635206129
boguchany,58.3814,97.4531,277.56,277.56,91,82,5.84,RU,1635206129
kisangani,0.5167,25.2,294.69,294.69,98,100,0.57,CD,1635206129
dzhebariki-khaya,62.2167,135.8,271.54,271.54,97,100,1.58,RU,1635206130
gerash,27.6652,54.1371,290.45,290.45,29,0,0.48,IR,1635206130
husavik,66.0449,-17.3389,271.1,271.1,77,93,2.63,IS,1635206130
yerbogachen,61.2767,108.0108,272.93,272.93,98,100,3.49,RU,1635206131
dawei,14.0833,98.2,296.83,296.83,87,86,2.07,MM,1635206131
moncao,42.0789,-8.4808,289.12,287.35,88,1,1.59,PT,1635206132
namikupa,-10.8333,39.6,295.26,295.26,96,78,1.55,TZ,1635206132
zonguldak,41.25,31.8333,276.31,276.31,87,0,1.46,TR,1635206133
tiznit,29.5833,-9.5,289.48,289.48,77,0,1.32,MA,1635206133
muros,42.7762,-9.0603,289.17,283.41,95,2,2.59,ES,1635206133
szentes,46.65,20.2667,274.34,274.34,58,0,0.41,HU,1635206134
mtwara,-10.2667,40.1833,297.78,297.78,100,75,4.12,TZ,1635206134
aswan,24.0934,32.907,296.76,296.76,35,0,5.14,EG,1635205849
lumphat,13.4878,106.9816,295.16,295.16,96,90,0.9,KH,1635206135
zharkent,44.1628,80.0,280.22,280.22,49,0,1.45,KZ,1635206135
san cristobal,7.7669,-72.225,297.25,297.25,98,84,1.16,VE,1635205850
saint anthony,45.0205,-93.218,282.49,280.37,58,40,2.06,US,1635206000
maku,39.2911,44.4521,279.39,279.39,66,96,1.64,IR,1635206136
masalli,34.7959,126.6553,279.97,279.97,55,45,2.35,KR,1635206136
huangpu,25.4433,113.1747,290.18,290.18,81,12,0.44,CN,1635206137
sabang,5.8933,95.3214,300.33,300.33,77,100,3.75,ID,1635206137
balkhash,46.844,74.9804,280.1,280.1,58,34,2.24,KZ,1635206137
orodara,10.9492,-4.9342,299.36,299.36,80,57,2.0,BF,1635206138
diamantino,-14.4086,-56.4461,296.72,296.72,79,100,1.41,BR,1635206074
farah,32.5,62.5,286.51,286.51,17,0,1.63,AF,1635206138
merrill,45.1805,-89.6835,280.12,278.95,65,1,0.0,US,1635206033
dongsheng,39.8161,109.9776,276.61,276.61,44,58,4.06,CN,1635206139
yuli,9.6989,10.2744,300.17,300.17,66,96,2.92,NG,1635206139
taga,46.95,24.05,272.33,272.14,59,0,1.16,RO,1635206140
los llanos de aridane,28.6585,-17.9182,292.01,290.44,83,20,1.34,ES,1635206029
bunda,-2.05,33.8667,295.0,295.0,60,82,2.42,TZ,1635206140
mabaruma,8.2,-59.7833,296.7,296.7,99,100,0.95,GY,1635206141
roald,62.5833,6.1333,282.23,282.02,81,95,8.75,NO,1635205845
mancio lima,-7.6142,-72.8958,295.34,295.34,83,99,1.77,BR,1635206141
sorong,-0.8833,131.25,301.04,301.04,75,75,2.28,ID,1635206142
ban nahin,18.2418,104.2122,292.67,292.67,83,84,1.35,LA,1635206142
